" ",,,,,,,,,,,,,,,,,
"Weight percent  ","      Group : 2020_03_11    ","  Sample : 2020_03_11_0001_QNT  "," Page ",1," ",,,,,,,,,,,,
" ",,,,,,,,,,,,,,,,,
"   No. ","   Na2O  ","   F     ","   MgO   ","   Al2O3 ","   SiO2  ","   Cl    ","   P2O5  ","   K2O   ","   CaO   ","   TiO2  ","   Cr2O3 ","   MnO   ","   V2O3  ","   FeO   ","   NiO   ","  Total  ","Comment  "
1,11.44,0,0.02,18.88,66.51,0.01,0.01,0.24,0.21,0.01,0.01,0.02,0,0.04,0,97.42,"Albita_padrao_teste "
" ",,,,,,,,,,,,,,,,,
"Minimum",11.44,0,0.02,18.88,66.51,0.01,0.01,0.24,0.21,0.01,0.01,0.02,0,0.04,0,97.42,
"Maximum",11.44,0,0.02,18.88,66.51,0.01,0.01,0.24,0.21,0.01,0.01,0.02,0,0.04,0,97.42,
"Average",11.44,0,0.02,18.88,66.51,0.01,0.01,0.24,0.21,0.01,0.01,0.02,0,0.04,0,97.42,
"Sigma  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"No. of data   1 ",,,,,,,,,,,,,,,,,
