 ,,,,,,,,,,,,,,,,
Weight percent  ,      Group : Offline       ,  Sample : Offline_0001_QNT  , Page ,1, ,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
   No. ,   Na2O  ,   MgO   ,   F     ,   Al2O3 ,   SiO2  ,   CaO   ,   K2O   ,   Cl    ,   TiO2  ,   Cr2O3 ,   MnO   ,   NiO   ,   FeO   ,   V2O3  ,  Total  ,Comment  
1,"0,12","7,52","0,15","19,52","33,97","0,04","9,29","0,1","2,4","0,06","0,06","0,08","20,62","0,12","93,97",bt 1 
2,"0,13","7,91","0,11","19,59","34,86","0,01","9,77","0,09","2,79","0,11",0,"0,05","20,07","0,12","95,55",bt 2 
3,"0,2","5,75","0,04","19,41","43,63","0,03","8,45","0,13","2,1","0,07",0,0,"15,21","0,11","95,07",bt 3 
4,"0,2","8,14","0,07","19,07","34,75",0,"9,44","0,09","2,18","0,1","0,03","0,03","19,17","0,06","93,26",bt 4 
5,"0,2","8,46","0,09","19,63","34,06",0,"9,45","0,07","2,67",0,"0,1","0,05","19,55","0,04","94,31",bt 5 
6,"1,34","0,65",0,"36,17","45,2","0,01","9,37","0,01",0,0,0,"0,04","1,08","0,02","93,89",ms 1 
7,"1,42","0,41",0,"36,37","45,27","0,03","9,61",0,0,0,0,0,"0,59","0,03","93,73",ms 2 
8,"1,04","0,68",0,"35,67","44,93","0,03","9,31","0,01",0,"0,08","0,02","0,06","1,14",0,"92,96",ms 3 
9,1,"0,61",0,"35,83","44,91","0,03","9,93","0,01","0,09","0,02","0,08",0,"1,07",0,"93,57",ms 4 
10,"1,06","0,4",0,"36,36","46,21",0,"9,77","0,02","0,33",0,"0,02",0,"0,87","0,08","95,11",ms 5 
11,"0,01","3,42","0,05","20,79","36,99","1,24",0,"0,01",0,"0,06","1,43","0,03","34,75",0,"98,73",grt 1 
12,"0,03","3,44","0,08","20,73","36,39","1,33",0,0,"0,16","0,01","1,84",0,"34,48",0,"98,46",grt 2 
13,"0,46","7,35",0,"33,21","48,15","0,06","0,02","0,02",0,"0,09","0,17",0,"9,08",0,"98,61",crd 1 
14,"0,46","7,55",0,"32,59","47,82","0,02","0,01","0,01","0,13","0,06","0,24",0,"9,46","0,03","98,37",crd 2 
15,"0,37","7,48",0,"32,7","47,64","0,03","0,01",0,"0,02",0,"0,23",0,"8,85","0,02","97,34",crd 3 
16,"0,04","7,66","0,31","17,37","34,99","0,02","9,97","0,07","1,62","0,03","0,22",0,"22,62","0,08","94,84",bt 1 
17,"0,54","0,82",0,"34,31","45,46",0,"10,16","0,01","1,2","0,04",0,"0,06","1,34","0,09","94,01",ms 1 
18,"0,12","7,68","0,15","17,6","34,64","0,03","9,7","0,09","2,14","0,02","0,51","0,1","22,33","0,02","95,04",bt 2 
19,"0,43","0,71",0,"35,07","45,92",0,"10,4","0,01","0,45","0,07",0,"0,07","1,17",0,"94,28",ms 2 
20,"0,6","0,8",0,"34,46","45,83","0,01","10,15",0,"0,49","0,08",0,0,"1,24","0,06","93,72",ms 3 
21,"0,06","7,46","0,24","17,49","33,43",0,"9,82","0,09","2,02",0,"0,41",0,"22,02","0,01","92,93",bt 3 
22,"0,03","8,21","0,25","17,11","34,77","0,02","9,36","0,09","1,07","0,1","0,36",0,"20,23","0,05","91,52",bt 4 
23,"0,27","1,4",0,"32,05","46,27",0,"10,4",0,"0,38","0,02","0,01","0,03","2,22",0,"93,06",ms 4 
24,"0,09","7,94","0,28","17,78","35,07","0,1","9,78","0,09","1,22",0,"0,36",0,"21,38","0,07","94,02",bt 1 
25,"0,11","8,74","0,28","17,77","35,29","0,02","9,68","0,04","1,95","0,02","0,42","0,05","20,87","0,06","95,19",bt 2 
26,"0,07","7,9","0,31","17,71","34,58","0,02","9,65","0,07","2,05","0,1","0,46",0,"22,22","0,04","95,02",bt 3 
27,"0,07","7,84","0,18","17,4","35,81","0,01","9,93","0,09","1,62",0,"0,49","0,03","22,91","0,04","96,31",bt 4 
28,"0,29","0,89",0,"33,92","45,99","0,02","10,13",0,"0,94","0,04",0,"0,06","1,64","0,1","94,02",ms 1 
29,"0,18","1,58",0,"31,36","44,66",0,"10,14","0,01","0,41",0,"0,13","0,01","3,4","0,05","91,92",ms 2 
30,"0,18","1,78",0,"30,44","47,15","0,04","10,52","0,02","0,7","0,1","0,01","0,04","2,33","0,04","93,33",ms 3 
31,"0,15","2,27",0,"29,48","47,33","0,08","10,66","0,01","1,02","0,11","0,11","0,03","3,18","0,05","94,47",ms 4 
32,0,"0,38",0,"20,29","37,65","13,44",0,0,"0,3","0,05","22,82",0,"4,06","0,14","99,14",grt 1 
33,"0,01","0,39",0,"19,45","36,59","10,16","0,01",0,"0,41",0,"27,22","0,03","3,66","0,11","98,02",grt 2 
34,"0,05","14,73",0,"0,06","54,99","10,72","0,02","0,01","0,14","0,02","6,66","0,14","9,44",0,"96,98",px
35,"0,02","15,08",0,"0,05","54,92","12,31",0,0,0,"0,07","5,94","0,1","8,69",0,"97,17",px
36,"0,04","12,02",0,"0,1","51,53","23,51",0,"0,01","0,07","0,07","5,86",0,"5,1","0,08","98,4",px 1 
37,"0,03","12,57",0,"0,13","52,85","23,79",0,"0,01","0,1",0,"5,53","0,06","4,76","0,07","99,89",px 2 
38,"0,04","0,32",0,"20,32","36,5","7,87",0,0,"0,47",0,"30,37","0,05","3,71","0,18","99,82",grt 3 
39,"0,01","0,48",0,"20,21","36,56","8,09",0,"0,02","0,71","0,01","29,07",0,"3,82","0,06","99,04",grt 4 
40,"0,05","11,74",0,"0,14","52,32","23,21",0,"0,03",0,0,"5,83","0,04","5,9",0,"99,24",px 3 
41,"0,06","11,84",0,"0,15","52,92","23,34","0,02",0,0,"0,02","4,98","0,08","6,09","0,08","99,59",px 4 
 ,,,,,,,,,,,,,,,,
Minimum,0,"0,32",0,"0,05","33,43",0,0,0,0,0,0,0,"0,59",0,"91,52",
Maximum,"1,42","15,08","0,31","36,37","54,99","23,79","10,66","0,13","2,79","0,11","30,37","0,14","34,75","0,18","99,89",
Average,"0,28","5,44","0,06","21,95","42,41","3,89","6,22","0,03","0,84","0,04","3,71","0,03","10,79","0,05","95,7",
Sigma  ,"0,37","4,51","0,1","11,58","6,85","7,52","4,79","0,04","0,89","0,04","8,18","0,04","9,86","0,05","2,44",
No. of data   41 ,,,,,,,,,,,,,,,,
